Gene_ID,Gene_Name,zygote,cleavage_2_cell,blastula_128_cell,blastula_1k_cell,blastula_dome,gastrula_50__epiboly,gastrula_shield,gastrula_75__epiboly,segmentation_1_4_somites,segmentation_14_19_somites,segmentation_20_25_somites,pharyngula_prim_5,pharyngula_prim_15,pharyngula_prim_25,hatching_long_pec,larval_protruding_mouth,larval_day_4,larval_day_5
ENSDARG00000103848,apba1a,2,4,3,1,2,0.7,0.2,NA,0.1,0.3,0.5,0.5,0.6,2,2,2,3,3
ENSDARG00000074328,apba1b,NA,NA,0.5,0.3,0.1,NA,0.1,0.2,4,4,4,4,5,9,11,15,13,14
ENSDARG00000063314,apba2a,0.1,2,2,3,3,2,0.6,NA,2,2,2,2,2,3,5,5,5,5
ENSDARG00000060639,apba2b,0.4,0.1,0.3,0.1,0.2,NA,NA,NA,0.4,1,3,4,7,10,14,19,15,17
ENSDARG00000076560,apbb1,6,13,9,8,6,6,5,4,5,3,4,4,5,5,5,8,8,8
ENSDARG00000016505,apbb1ip,NA,NA,NA,NA,NA,0.2,0.4,1,2,1,3,3,3,2,3,3,4,5
ENSDARG00000099995,apbb2b,NA,NA,0.1,NA,0.1,0.1,NA,0.1,3,3,4,4,5,5,4,4,5,5
ENSDARG00000053771,apbb3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.9,0.9,3,4,4,4
ENSDARG00000058868,apc,23,19,40,39,30,16,15,15,11,9,12,14,16,20,23,26,27,26
ENSDARG00000063007,apc2,NA,NA,0.4,0.6,0.1,NA,NA,NA,NA,0.1,0.5,1,2,4,9,10,11,12
ENSDARG00000075557,apcdd1l,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7,8,7,7,5,6,5,4
ENSDARG00000008703,apeh,12,19,18,17,22,18,16,8,5,7,12,19,12,7,6,8,8,8
ENSDARG00000094729,apela,NA,NA,NA,0.5,50,132,150,190,72,62,33,16,10,6,2,1,0.6,0.6
ENSDARG00000045843,apex1,66,60,36,25,26,53,76,111,191,191,169,107,78,88,46,23,17,15
ENSDARG00000008472,apex2,16,20,10,6,3,0.5,0.2,0.3,2,2,3,3,3,2,2,2,1,2
ENSDARG00000005612,aph1b,100,91,83,77,74,41,37,39,43,47,40,30,26,30,21,19,15,12
ENSDARG00000033597,api5,40,93,147,147,166,249,273,249,159,118,108,90,65,65,52,40,30,26
ENSDARG00000003132,apip,NA,0.8,3,3,6,18,25,31,59,57,54,49,35,33,28,25,26,30
ENSDARG00000053279,apln,NA,NA,NA,NA,NA,NA,NA,0.2,3,3,7,7,8,10,11,19,20,20
ENSDARG00000004447,aplnr2,NA,0.2,1,2,2,1,0.9,0.2,13,6,6,3,2,2,2,2,2,1
ENSDARG00000002172,aplnra,NA,NA,NA,NA,48,73,82,59,30,23,17,17,13,12,9,9,10,9
ENSDARG00000036670,aplnrb,NA,NA,NA,0.9,32,48,56,48,17,13,11,7,6,5,7,6,7,5
ENSDARG00000098368,aplp1,NA,NA,NA,NA,NA,NA,0.1,0.1,1,1,3,5,11,21,27,41,44,46
ENSDARG00000054864,aplp2,25,28,34,30,36,28,18,16,31,30,29,24,24,23,27,42,49,52
ENSDARG00000017422,apmap,14,29,31,28,30,21,12,9,20,20,23,22,20,19,20,21,25,19
ENSDARG00000012076,apoa1a,2,2,1,1,2,54,159,386,848,755,1599,3438,4104,1712,3852,2790,1591,875
ENSDARG00000101324,apoa1b,0.4,0.5,0.5,0.3,0.3,8,49,159,243,110,339,849,926,265,869,764,910,837
ENSDARG00000015866,apoa2,0.8,0.8,0.4,0.7,0.4,3,4,13,202,141,447,1277,1770,705,2484,2564,2069,1275
ENSDARG00000101160,apoa4a,NA,NA,NA,NA,NA,NA,NA,NA,4,8,19,41,32,4,19,6,3,3
ENSDARG00000040298,apoa4b.1,NA,NA,NA,NA,NA,NA,NA,1,18,28,114,312,311,79,294,273,348,283
ENSDARG00000020866,apoa4b.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.75,74.5,68.5,NA,54.5,32,94,146
ENSDARG00000042780,apoba,NA,NA,NA,NA,0.2,0.1,0.2,2,6,4,10,75,72,10,45,24,17,11
ENSDARG00000022767,apobb.1,0.1,0.2,NA,0.1,0.1,0.5,1,10,65,37,107,544,488,70,303,181,228,272
ENSDARG00000075016,apobb.2,NA,NA,NA,NA,NA,0.1,NA,0.1,2,2,4,15,16,4,10,2,0.7,0.5
ENSDARG00000018881,apobec2a,NA,NA,NA,NA,NA,NA,0.3,0.4,3,15,20,26,47,58,33,23,15,10
ENSDARG00000113992,apobec2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.6,0.6,0.6,NA
ENSDARG00000092170,apoc1,0.5,0.5,NA,0.8,15,324,538,620,991,745,806,1320,1484,699,1356,673,524,319
ENSDARG00000092155,apoc2,NA,NA,NA,NA,0.2,8,13,11,6,5,14,47,72,28,76,63,64,40
